name,core_count,core_clock,boost_clock,tdp,graphics,smt
AMD A8-7680,4,3.5,3.8,65,Radeon R7 (on-die),False
Intel Core i9-7920X,12,2.9,4.4,140,,True
Intel Core i7-4960X Extreme Edition,6,3.6,4.0,130,,True
Intel Core i7-4770S,4,3.1,,65,Intel HD Graphics 4600,True
Intel Xeon E5-2695 V2,12,2.4,3.2,115,,True
AMD FX-6100,6,3.3,,95,,False
Intel Core i3-7320,2,4.1,,51,Intel HD Graphics 630,True
AMD A10-7850K,4,3.7,4.0,95,Radeon R7 (on-die),False
Intel Core i7-9800X,8,3.8,4.5,165,,True
Intel Core i7-3820,4,3.6,,130,,True
AMD Athlon II X4 640,4,3.0,,95,,False
Intel Xeon E5-2630 V4,10,2.2,3.1,85,,True
Intel Xeon E5-2650 V2,8,2.6,3.4,95,,True
Intel Core i7-8700T,6,2.4,4.0,35,Intel UHD Graphics 630,True
Intel Xeon E5-2660,8,2.2,3.0,95,,True
Intel Core i5-750,4,2.66,,95,,False
AMD FX-4350,4,4.2,,125,,False
Intel Pentium E2220,2,2.4,,65,,False
Intel Core i3-3240,2,3.4,,55,Intel HD Graphics 2500,True
Intel Core i5-4430,4,3.0,,84,Intel HD Graphics 4600,False
Intel Xeon E5-2670 V3,12,2.3,3.1,120,,True
Intel Xeon E5-2698 V4,20,2.2,3.6,135,,True
Intel Core 2 Quad Q9300,4,2.5,,95,,False
Intel Pentium G4400,2,3.3,,54,Intel HD Graphics 510,False
AMD Ryzen 5 PRO 7645,6,3.8,5.1,65,Radeon,True
Intel Core i5-9600,6,3.1,4.6,65,Intel UHD Graphics 630,False
Intel Core i7-7700T,4,2.9,3.8,35,Intel HD Graphics 630,True
Intel Core i5-6402P,4,2.8,3.4,65,Intel HD Graphics 510,False
Intel Core i7-3770S,4,3.1,,65,Intel HD Graphics 4000,True
Intel Core i9-9960X,16,3.1,4.4,165,,True
Intel Celeron G4920,2,3.2,,65,Intel UHD Graphics 610,False
AMD Ryzen 7 PRO 7745,8,3.8,5.3,65,Radeon,True
Intel Xeon E5-2660 V4,14,2.0,3.2,105,,True
AMD FX-9370,8,4.4,4.7,220,,False
Intel Core i7-4790S,4,3.2,4.0,65,Intel HD Graphics 4000,True
Intel Core i5-9500T,6,2.2,3.7,35,Intel UHD Graphics 630,False
Intel Core i7-6700T,4,2.8,3.6,35,Intel HD Graphics 530,True
Intel Core i7-860,4,2.8,,95,,True
Intel Celeron G4900T,2,1.8,,35,Intel UHD Graphics 610,False
AMD Phenom II X4 965 Black,4,3.4,,125,,False
Intel Xeon E5-2697 V3,14,2.6,3.6,145,,True
AMD A8-6600K,4,3.9,,100,Radeon HD 8570D,False
Intel Pentium G3258,2,3.2,,53,Intel HD Graphics,False
Intel Core i5-6500T,4,2.5,3.1,35,Intel HD Graphics 530,False
Intel Core 2 Quad Q9650,4,3.0,,95,,False
Intel Core i3-8350K,4,4.0,,91,Intel UHD Graphics 630,False
Intel Core i5-2320,4,3.0,,95,Intel HD Graphics 2000,False
Intel Core i5-3550,4,3.3,,77,Intel HD Graphics 2500,False
Intel Xeon E5-2680 V3,12,2.5,3.3,120,,True
AMD Athlon X4 970,4,3.8,4.0,65,,False
Intel Celeron E3400,2,2.6,,65,,False
Intel Core i3-9350KF,4,4.0,4.6,91,,False
AMD Athlon X4 860K,4,3.7,4.0,95,,False
Intel Xeon E5-1620 V3,4,3.5,3.6,140,,True
Intel Core i3-3250,2,3.5,,55,Intel HD Graphics 2500,True
Intel Core i5-2400S,4,2.5,,65,Intel HD Graphics 2000,False
AMD A6-3670K,4,2.7,,100,Radeon HD 6530D,False
Intel Core i3-8100T,4,3.1,,35,Intel UHD Graphics 630,False
Intel Core 2 Duo E7500,2,2.93,,65,,False
AMD A10-9700,4,3.5,3.8,65,Radeon R7 (on-die),False
Intel Xeon E5-1630 V4,4,3.7,4.0,140,,True
AMD Phenom II X6 1090T Black,6,3.2,,125,,False
Intel Pentium Gold G6405,2,4.1,,58,Intel UHD Graphics 610,True
Intel Celeron G5920,2,3.5,,58,Intel UHD Graphics 610,False
Intel Xeon E5-2687W V3,10,3.1,3.5,160,,True
Intel Core i7-10700K Avengers Collector's Edition,8,3.8,5.1,125,Intel UHD Graphics 630,True
Intel Core i7-950,4,3.06,,130,,True
AMD Athlon II 160u,1,1.8,,20,,False
Intel Core i5-650,2,3.2,,73,Intel HD Graphics,True
AMD A8-9600,4,3.1,3.4,65,Radeon R7 (on-die),False
Intel Xeon E5-2620 V4,8,2.1,3.0,85,,True
Intel Celeron 440,1,2.0,,35,,False
Intel Core i5-4570T,2,2.9,,35,Intel HD Graphics 4600,True
Intel Xeon E5-1660 V2,6,3.7,4.0,130,,True
Intel Xeon E5-2620,6,2.0,,95,,True
Intel Xeon E5-4620,8,2.2,2.6,95,,True
Intel Core i5-760,4,2.8,,95,,False
Intel Core i5-4570S,4,2.9,,65,Intel HD Graphics 4600,False
Intel Pentium Gold G6500,2,4.1,,58,Intel UHD Graphics 630,True
Intel Xeon E-2176G,6,3.7,4.7,80,Intel HD Graphics P630,True
Intel Celeron G5925,2,3.6,,58,Intel UHD Graphics 610,False
Intel Xeon E3-1230 V2,4,3.3,,69,,True
Intel Xeon E3-1240L V5,4,2.1,3.2,25,,True
Intel Core i9-9900X,10,3.5,4.4,165,,True
Intel Core i7-3970X Extreme Edition,6,3.5,,150,,True
Intel Xeon E5-2640,6,2.5,3.0,95,,True
Intel Core i5-4590S,4,3.0,3.7,65,Intel HD Graphics 4000,False
