name,capacity,rpm,cache,form_factor,interface
Western Digital Red Plus,6000.0,5640.0,128.0,3.5,SATA 6.0 Gb/s
Western Digital Purple Pro,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Toshiba X300 Pro,18000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Toshiba N300,4000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate ST2000DX001,2000.0,,64.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,640.0,7200.0,16.0,3.5,SATA 3.0 Gb/s
Western Digital Ultrastar DC HC330,10000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,1000.0,7200.0,32.0,3.5,SATA 6.0 Gb/s
Seagate Enterprise Capacity,2000.0,7200.0,128.0,3.5,SATA 6.0 Gb/s
Hitachi Travelstar Z7K500,500.0,7200.0,32.0,2.5,SATA 6.0 Gb/s
Seagate Exos 7E10 512n,2000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Toshiba HDD3B04,1000.0,7200.0,64.0,3.5,SAS 6.0 Gb/s
Seagate ST1000DM004,1000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Water Panther Arsenal,14000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X22,20000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Toshiba P300,4000.0,5400.0,128.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,2000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,1000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Seagate Momentus,1000.0,5400.0,8.0,2.5,SATA 6.0 Gb/s
Western Digital Purple Surveillance,6000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,12000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,320.0,5400.0,8.0,2.5,SATA 6.0 Gb/s
Hitachi Deskstar NAS,10000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,6000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf,1000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,500.0,5400.0,128.0,2.5,SATA 6.0 Gb/s
Western Digital Scorpio Blue,1000.0,5200.0,8.0,2.5,SATA 3.0 Gb/s
Seagate Constellation ES.2,2000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red,4000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Black,3000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Seagate NAS HDD,4000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,6000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Maxtor 7Y250M0,250.0,7200.0,8.0,3.5,SATA 1.5 Gb/s
Seagate Enterprise,6000.0,7200.0,128.0,3.5,SAS 12.0 Gb/s
Toshiba P300,2000.0,5400.0,128.0,3.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC550,18000.0,7200.0,512.0,3.5,SAS 12.0 Gb/s
Western Digital Caviar Green,3000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
