name,socket,form_factor,max_memory,memory_slots
Gigabyte Z790 AORUS XTREME X,LGA1700,EATX,192,4
ASRock Z790 Taichi Lite,LGA1700,EATX,192,4
Asus TUF GAMING B650M-E WIFI,AM5,Micro ATX,192,4
Asus TUF GAMING Z690-PLUS WIFI,LGA1700,ATX,192,4
ASRock Z690 Phantom Gaming 4/D5,LGA1700,ATX,192,4
Asus PRIME Z490-P,LGA1200,ATX,128,4
MSI MEG X570 UNIFY,AM4,ATX,128,4
ASRock B650E STEEL LEGEND WIFI,AM5,ATX,192,4
ASRock B760 Pro RS/D4,LGA1700,ATX,128,4
MSI PRO B760M-P,LGA1700,Micro ATX,192,4
MSI MEG Z690 UNIFY,LGA1700,ATX,192,4
Asus PRIME A520M-K,AM4,Micro ATX,64,2
MSI PRO X670-P WIFI,AM5,ATX,192,4
Asus ROG STRIX B760-F GAMING WIFI,LGA1700,ATX,192,4
Asus PRIME Z790M-PLUS,LGA1700,Micro ATX,192,4
ASRock Z690M Phantom Gaming 4,LGA1700,Micro ATX,128,4
ASRock H610M-HDV/M.2+ D5,LGA1700,Micro ATX,96,2
ASRock B760M-ITX/D4 WiFi,LGA1700,Mini ITX,64,2
MSI MAG B560M MORTAR WIFI,LGA1200,Micro ATX,128,4
MSI MPG X570 GAMING EDGE WIFI,AM4,ATX,128,4
Asus TUF GAMING X670E-PLUS,AM5,ATX,192,4
Asus TUF GAMING B660-PLUS WIFI D4,LGA1700,ATX,128,4
MSI MAG Z790 TOMAHAWK WIFI DDR4,LGA1700,ATX,128,4
Asus PRIME B550M-K,AM4,Micro ATX,128,4
ASRock X570 Phantom Gaming-ITX/TB3,AM4,Mini ITX,64,2
MSI MPG Z690 EDGE WIFI DDR4,LGA1700,ATX,128,4
Asus X99-WS/IPMI,LGA2011-3,ATX,128,8
Asus PROART B650-CREATOR,AM5,ATX,192,4
Gigabyte B450 I AORUS PRO WIFI,AM4,Mini ITX,64,2
MSI PRO Z790-A WIFI DDR4,LGA1700,ATX,128,4
ASRock B760 Pro RS,LGA1700,ATX,192,4
ASRock X670E Pro RS,AM5,ATX,192,4
Gigabyte B760I AORUS PRO DDR4,LGA1700,Mini ITX,64,2
Asus PRIME B450M-A,AM4,Micro ATX,64,4
Asus TUF GAMING X570-PRO WIFI II,AM4,ATX,128,4
Gigabyte A620M GAMING X,AM5,Micro ATX,192,4
Asus PRIME B450-PLUS,AM4,ATX,64,4
Asus ROG STRIX Z370-E GAMING,LGA1151,ATX,64,4
Gigabyte B760M D3H,LGA1700,Micro ATX,192,4
Gigabyte Z790 AORUS MASTER X,LGA1700,EATX,192,4
ASRock X570 Phantom Gaming 4S,AM4,ATX,128,4
ASRock Z790M-ITX WIFI,LGA1700,Mini ITX,96,2
Asus TUF GAMING B450-PLUS II,AM4,ATX,128,4
Gigabyte A620M GAMING X AX,AM5,Micro ATX,192,4
ASRock H670M-ITX/ax,LGA1700,Mini ITX,64,2
Gigabyte B760 DS3H AC DDR4,LGA1700,ATX,128,4
